,Customer,Gender,Income,Location Code,Marital Status
131,FV21968,F,41611,Rural,Married
132,QA87025,F,28406,Urban,Married
133,TQ13499,M,69833,Suburban,Married
136,PU25891,F,80536,Rural,Married
138,SX26335,F,97732,Urban,Married
139,AZ95587,F,61222,Urban,Single
141,OJ94107,M,50335,Urban,Married
143,YV64727,M,63221,Suburban,Married
145,ZU18643,M,64495,Urban,Married
147,XC67861,F,28859,Suburban,Divorced
148,YC43143,F,77330,Rural,Married
150,GD83998,M,24495,Suburban,Single
151,WA25797,M,95697,Rural,Married
152,PD27940,M,26372,Suburban,Married
153,BS77946,F,17514,Rural,Married
154,YM50253,F,89270,Urban,Single
155,NR15332,M,29757,Suburban,Married
156,RC62865,M,51814,Rural,Single
157,CC15295,F,24028,Suburban,Married
158,KA61892,M,28142,Suburban,Married
159,OS94884,F,52705,Rural,Married
161,ML93326,F,84903,Urban,Married
163,JP69864,F,24910,Suburban,Single
165,RI78966,M,21876,Suburban,Married
168,HT87217,F,70699,Urban,Divorced
170,TS19868,M,27501,Suburban,Married
171,LP45550,F,15897,Urban,Divorced
172,QR87004,F,25141,Rural,Divorced
174,DX91392,M,51066,Suburban,Single
175,AB72731,F,28358,Rural,Married
176,RU49126,F,61846,Rural,Married
177,IS12901,F,90972,Urban,Married
179,HH90090,F,29549,Suburban,Divorced
181,KC11055,F,39411,Suburban,Married
182,PD33979,M,21709,Suburban,Married
183,NK71023,M,67890,Suburban,Single
185,OZ97704,F,84311,Suburban,Single
186,UF46533,F,99316,Suburban,Single
187,XP47431,F,54507,Suburban,Married
188,GK73582,F,64586,Urban,Single
189,RV98763,M,61709,Urban,Married
190,II62831,M,94656,Urban,Married
192,TR85083,M,61085,Suburban,Married
193,EO95328,F,89284,Suburban,Married
195,YL83902,F,31686,Suburban,Married
196,AZ62651,M,56855,Suburban,Single
197,ZW25874,M,53703,Rural,Single
199,MW70227,M,20396,Suburban,Married
200,SL22297,F,27679,Suburban,Single
201,RV14138,F,23904,Suburban,Single
202,UO62808,F,65351,Suburban,Married
206,XX12304,F,64459,Urban,Married
207,SD64087,M,32961,Suburban,Married
208,OY38576,F,71416,Suburban,Divorced
209,BG76355,F,68964,Rural,Married
210,IP66913,M,78108,Suburban,Single
211,LE95702,M,10621,Suburban,Single
212,KX54357,M,84910,Urban,Married
213,EZ78112,F,77493,Urban,Single
214,XN16891,M,81097,Suburban,Divorced
215,XK31350,F,96610,Suburban,Married
216,CC30924,M,30110,Urban,Married
217,IT78748,F,22081,Suburban,Married
219,CO44221,M,98473,Suburban,Married
220,LK60013,F,97431,Suburban,Married
221,DE21533,M,93870,Suburban,Divorced
222,YS94121,M,50366,Suburban,Divorced
223,UK68427,M,34498,Suburban,Single
224,TE49565,F,16552,Suburban,Married
225,RA88421,F,26787,Suburban,Married
227,CD88896,F,43860,Rural,Single
228,YV22553,M,21474,Urban,Married
229,WU14435,M,18174,Suburban,Married
231,RI24911,M,60920,Urban,Single
232,KO26461,M,41520,Urban,Married
235,BH36570,M,72208,Suburban,Married
236,TX17484,F,53863,Rural,Married
237,CT41158,M,66446,Urban,Divorced
239,DE55857,F,64997,Suburban,Single
240,LF66923,F,64460,Suburban,Married
241,CN24514,F,46618,Rural,Married
243,HP36979,M,49988,Suburban,Married
245,RO73268,M,16269,Suburban,Divorced
246,HO61691,F,72006,Suburban,Divorced
249,HR10526,M,44320,Suburban,Married
250,IA63417,F,19782,Suburban,Divorced
251,BH35016,F,63933,Suburban,Divorced
252,PK52952,M,28224,Suburban,Single
253,OD76309,F,21073,Suburban,Divorced
254,IL28481,M,63243,Urban,Married
255,GY55092,M,20993,Suburban,Divorced
256,UF33451,F,94827,Urban,Married
257,CF15558,F,39161,Urban,Married
258,JM62924,M,37534,Suburban,Married
259,EM66435,F,80210,Rural,Divorced
261,JI71369,F,30110,Rural,Married
262,JU93290,F,21708,Suburban,Divorced
263,GU66096,M,94731,Suburban,Married
264,UC33108,M,32375,Suburban,Married
265,LW93867,M,16531,Rural,Married
266,OU78470,F,32006,Rural,Single
267,XW90265,F,81676,Suburban,Married
268,HS67749,M,71038,Rural,Married
270,UI64281,F,20832,Rural,Married
272,AZ74055,M,52405,Suburban,Married
274,AY40674,F,26583,Suburban,Married
275,NA12740,M,25486,Rural,Married
276,UA84837,M,24065,Suburban,Divorced
277,DJ51510,F,70435,Rural,Married
279,OH60605,F,39679,Suburban,Married
282,LQ13873,M,53565,Suburban,Married
283,LA97014,M,37574,Suburban,Married
284,NB79936,M,48259,Rural,Single
285,NT89061,F,78532,Suburban,Married
286,AF10970,F,96163,Suburban,Married
289,FE84989,M,72672,Urban,Married
290,JT52858,F,99002,Suburban,Married
291,MC62068,M,79494,Urban,Married
292,EU27538,M,35704,Rural,Married
294,US23612,F,26049,Rural,Married
295,WV76014,M,70125,Rural,Single
296,RK96223,M,52369,Suburban,Married
298,FM46980,M,41770,Suburban,Married
300,RF61565,M,31911,Suburban,Married
301,IM94808,M,70051,Rural,Married
302,VI14730,M,19683,Suburban,Married
303,YR34119,F,30916,Rural,Married
307,TM23514,M,60145,Urban,Single
308,MQ68407,F,63774,Rural,Divorced
309,GJ59592,F,25134,Suburban,Married
310,FY56083,M,37057,Rural,Married
311,UA94723,F,58577,Urban,Married
312,FW91032,M,85857,Rural,Married
313,DE34457,F,70602,Urban,Married
314,HD32044,F,33816,Suburban,Divorced
316,AH84063,F,89642,Rural,Married
317,QA17596,F,60068,Suburban,Married
318,XI41052,F,50044,Suburban,Single
319,DI30528,F,36650,Rural,Married
320,SC66359,F,50653,Rural,Married
321,EN61670,F,68931,Urban,Married
324,JE21522,M,39266,Suburban,Married
327,EW38459,F,40864,Rural,Married
328,QW87316,F,39035,Urban,Divorced
329,IC43478,M,34923,Suburban,Single
332,YM18992,F,24506,Suburban,Divorced
334,KU56006,F,52220,Suburban,Married
336,TW43626,M,53554,Suburban,Married
337,XX84133,M,34476,Rural,Married
339,HO29524,M,68205,Rural,Married
341,GE87503,M,53690,Suburban,Married
344,FY32213,F,74454,Suburban,Single
346,GN45013,M,29664,Suburban,Married
347,UB16654,M,15680,Urban,Divorced
348,KU84464,F,47272,Rural,Married
349,YH43527,F,21585,Suburban,Married
350,RO30676,F,23827,Rural,Married
351,QL59704,F,69906,Urban,Married
353,HR85211,F,89879,Rural,Married
355,WB38524,M,46131,Suburban,Married
356,CE56187,F,54514,Urban,Divorced
358,JZ61422,F,96668,Suburban,Single
359,LA13377,M,78879,Suburban,Married
363,ES57969,M,29735,Suburban,Single
364,JK55587,M,23082,Suburban,Married
365,RN97635,M,53984,Suburban,Divorced
366,BI76326,F,52135,Urban,Single
367,JA34909,F,17576,Suburban,Married
368,OJ90342,F,29486,Rural,Married
369,CM88932,F,58557,Rural,Married
370,JJ97525,M,25632,Suburban,Married
372,MC83487,M,18768,Suburban,Single
373,BL90769,F,33190,Suburban,Divorced
374,CR57148,F,47945,Rural,Married
375,CP85232,M,58778,Rural,Married
376,YL74732,F,15192,Suburban,Married
377,FG16766,F,51859,Suburban,Married
378,NV55438,F,23422,Suburban,Single
379,RM10880,F,21604,Suburban,Divorced
380,GL56175,M,79298,Urban,Married
381,UK52289,F,76731,Urban,Married
382,LL45497,F,67282,Suburban,Married
383,BC62782,F,48534,Suburban,Married
384,YM57893,M,77678,Suburban,Married
385,JP30654,F,48412,Suburban,Single
386,RA66180,F,33837,Urban,Married
387,EN60878,M,23712,Urban,Single
388,JF36291,M,28142,Suburban,Married
389,BK59444,F,72196,Rural,Single
390,MK70700,M,68197,Urban,Married
391,IW71076,M,75248,Rural,Married
394,QP84605,F,41546,Rural,Divorced
395,VC87846,M,46998,Suburban,Divorced
396,ZM92052,M,57099,Rural,Single
397,ON73702,F,33897,Urban,Married
398,QQ90441,F,59207,Suburban,Single
399,HU35721,M,40171,Suburban,Divorced
400,XH85336,M,67798,Suburban,Divorced
401,ZH17561,F,21665,Suburban,Divorced
404,DJ91267,F,34226,Rural,Married
405,KB72438,F,65989,Rural,Married
406,TR67616,M,30686,Rural,Single
408,HB67642,F,20090,Suburban,Married
410,VV77534,M,77094,Urban,Married
411,GL67540,F,97413,Urban,Married
412,SV50502,F,79189,Suburban,Married
414,OA57352,F,18577,Suburban,Divorced
416,VH31965,M,40783,Suburban,Married
418,EM29359,M,17483,Suburban,Married
419,SF57173,M,84394,Suburban,Married
421,SW31412,F,41440,Suburban,Married
423,RE81445,F,98132,Rural,Married
425,LC25393,M,88220,Rural,Married
426,UX38930,F,58327,Urban,Married
427,HD95496,M,25950,Urban,Married
428,RX24650,M,20993,Suburban,Divorced
429,DW19309,M,65726,Suburban,Married
431,UF88986,F,39783,Suburban,Single
432,DB42794,M,58842,Suburban,Married
433,JB50798,F,25629,Suburban,Single
434,JY45873,F,48567,Suburban,Single
436,CM55703,F,33746,Suburban,Divorced
437,QN65180,F,22254,Rural,Married
438,GE47180,M,65974,Rural,Married
440,ZY90118,M,17161,Suburban,Married
444,MN61620,F,67752,Rural,Single
445,YH86390,F,25398,Suburban,Divorced
447,YH61661,M,33321,Suburban,Married
449,UM45563,M,68798,Rural,Single
450,WE68644,F,20325,Suburban,Married
451,EZ30498,M,13129,Suburban,Married
453,NM88660,M,49080,Rural,Single
454,MZ82036,M,42536,Suburban,Divorced
455,ID20929,M,29926,Suburban,Divorced
457,TT82373,F,21450,Suburban,Married
458,OH64088,M,33345,Suburban,Single
459,SK97780,F,15752,Urban,Married
460,IO33050,F,40169,Urban,Divorced
461,XA55917,F,26049,Suburban,Married
463,RQ19236,M,55411,Urban,Married
464,QC47433,M,12459,Suburban,Married
465,RA93608,M,64620,Suburban,Married
466,XH97711,M,83140,Urban,Married
468,KC17170,F,54422,Rural,Married
469,ZN47335,M,68309,Rural,Divorced
470,EI46264,M,56621,Rural,Married
471,EK87864,F,38977,Rural,Married
475,NS10490,F,83235,Suburban,Married
477,IU96845,M,32390,Rural,Married
478,QL93655,F,66538,Urban,Married
480,LZ34046,M,76358,Rural,Married
481,ZH19885,F,43860,Rural,Single
482,YE88490,F,55350,Suburban,Married
483,YC80498,F,12964,Suburban,Single
484,AI85843,F,33288,Urban,Married
486,FY51713,F,56168,Suburban,Married
488,WQ18638,M,23105,Suburban,Married
489,KY14688,F,36218,Rural,Married
490,TC97762,F,52275,Suburban,Married
491,QC87108,F,49665,Suburban,Single
492,CX12134,M,32471,Suburban,Single
494,CK19789,F,62773,Rural,Married
495,UV12583,F,76694,Suburban,Married
496,JC11405,M,55687,Suburban,Divorced
498,BG85305,M,36633,Suburban,Single
499,UQ87917,M,77060,Urban,Married
500,XN11823,F,92600,Suburban,Single
503,RP19541,M,64801,Urban,Married
504,ZR25747,F,45257,Suburban,Married
505,NQ86532,M,26854,Suburban,Married
506,JY27336,F,85840,Rural,Married
507,PB54378,F,26463,Suburban,Married
508,SV38190,F,30689,Suburban,Married
509,CV24005,M,29590,Suburban,Married
510,EX28656,F,25965,Suburban,Divorced
511,CF57022,M,17269,Suburban,Married
512,GM16780,M,90330,Rural,Single
516,YH92099,F,18558,Suburban,Married
517,SG81493,M,46384,Rural,Married
519,FJ54907,F,42303,Suburban,Married
520,CU26127,F,71731,Urban,Single
521,YH60476,M,51066,Suburban,Single
525,UA51318,F,26173,Suburban,Single
526,BV55014,M,24445,Suburban,Single
527,HX21307,M,72302,Suburban,Divorced
528,LQ68252,M,27208,Suburban,Single
529,CR92802,F,36650,Rural,Married
530,SL35268,M,30855,Urban,Married
532,JS42382,M,99960,Suburban,Married
534,VP57424,F,55873,Urban,Married
535,VU19243,F,18052,Suburban,Divorced
536,TA82973,F,28937,Rural,Divorced
539,LL62746,M,12829,Urban,Married
540,JQ56711,F,92163,Rural,Married
541,AW77988,M,17588,Suburban,Single
542,HF75891,F,82302,Suburban,Married
544,IB87349,M,70340,Suburban,Married
546,HI74419,M,50825,Urban,Married
547,PX70175,M,93459,Suburban,Married
548,KF75098,M,86148,Suburban,Married
549,IS50283,F,27048,Suburban,Married
550,MY64920,F,73259,Suburban,Married
551,KN34250,F,35482,Suburban,Married
552,GN46207,F,29462,Suburban,Single
553,KL57176,F,67801,Rural,Divorced
555,JY90595,M,16042,Suburban,Married
556,HK26543,M,28056,Suburban,Married
557,PN86062,M,16495,Suburban,Married
558,VW27730,F,41163,Rural,Married
560,MO56878,M,33799,Suburban,Single
562,SV35618,F,87747,Rural,Divorced
563,RX12347,M,35695,Suburban,Married
564,FR55658,M,90985,Rural,Divorced
566,ZU73588,M,66839,Suburban,Single
568,VM13430,F,79090,Urban,Married
569,TC78849,M,24825,Rural,Married
570,VC34764,M,26806,Suburban,Married
571,WO90953,F,56835,Suburban,Married
573,KO46064,M,46135,Rural,Married
575,BI38192,F,22862,Suburban,Married
576,PU18983,F,21450,Suburban,Divorced
577,SW79912,M,95854,Suburban,Married
578,ES39217,F,44897,Suburban,Married
579,OY51402,F,54040,Rural,Married
580,UA19178,F,53265,Urban,Married
582,RJ85627,F,43817,Urban,Married
583,CN90378,F,54780,Rural,Married
585,UI55951,M,67798,Suburban,Divorced
586,FF28650,M,21442,Suburban,Divorced
587,FS55302,M,27615,Suburban,Married
588,TN79487,M,17622,Suburban,Divorced
589,HG32616,M,50200,Urban,Divorced
592,PM27367,F,73570,Rural,Single
595,QE22757,M,36631,Rural,Divorced
596,ON77649,F,35895,Urban,Married
597,RN82884,F,40864,Rural,Married
599,FF58467,F,93018,Rural,Divorced
600,BS83666,M,70014,Rural,Divorced
601,WO29605,F,48875,Rural,Married
602,TL77607,M,67969,Urban,Married
604,OS39723,F,68665,Suburban,Married
605,FN69743,M,26802,Suburban,Married
607,TU92578,M,45345,Suburban,Married
608,IJ50779,M,17101,Suburban,Single
609,YE68736,F,32051,Suburban,Married
610,OB96537,M,81139,Suburban,Divorced
611,EU68825,F,63834,Rural,Married
612,CC31456,M,37548,Rural,Married
614,LN26837,M,72421,Suburban,Married
615,YI92916,M,83102,Urban,Married
616,NW54906,M,28432,Suburban,Married
617,ME77513,F,83707,Urban,Married
618,UK76891,F,63259,Suburban,Married
620,YD74948,F,63860,Urban,Married
621,CA86085,M,67176,Suburban,Single
622,BW52697,F,86132,Urban,Married
623,NL41409,F,28519,Suburban,Married
624,OD69005,F,39102,Rural,Married
626,UK70255,F,97298,Rural,Single
627,QT25383,M,41986,Suburban,Single
629,NS45347,F,17291,Suburban,Married
631,XW89091,M,37256,Rural,Married
632,YC11951,M,96306,Rural,Divorced
633,UY18770,F,14290,Suburban,Married
634,RA49085,F,37038,Rural,Married
635,BG84194,M,90760,Rural,Married
636,GM62071,F,20668,Suburban,Married
637,MR67738,F,54480,Suburban,Married
638,DM95829,M,16244,Suburban,Married
639,DB75522,F,22436,Suburban,Married
640,RZ27571,F,25544,Suburban,Married
641,WW30771,M,28728,Suburban,Married
642,QP65569,M,57449,Suburban,Single
643,TN50051,F,83318,Urban,Divorced
644,GT62080,M,55561,Urban,Divorced
646,NX18774,M,55308,Suburban,Divorced
647,DA69469,F,36068,Rural,Married
648,CN23147,M,48804,Suburban,Married
650,GH42026,M,55790,Rural,Single
651,BD16530,F,70258,Urban,Divorced
653,WK23685,F,47274,Rural,Married
656,ZF40671,F,15818,Urban,Married
657,UG34438,F,44552,Rural,Married
658,UK25655,F,64348,Rural,Married
660,EL93539,M,88997,Rural,Divorced
661,DG80424,F,77411,Urban,Married
662,DP46882,F,10312,Suburban,Married
664,TK60799,F,96263,Rural,Married
665,DN29808,F,28919,Suburban,Married
667,NG66579,M,41869,Urban,Married
669,ED50963,F,32808,Suburban,Married
670,GP40701,F,79780,Suburban,Married
671,CP98451,F,91025,Urban,Married
672,NX52648,F,33043,Suburban,Married
673,ZC32510,M,69442,Suburban,Married
676,EB59129,F,47234,Rural,Married
677,RA70851,M,86863,Suburban,Married
678,PM19162,M,25805,Suburban,Divorced
679,MS59005,M,43676,Suburban,Single
680,SU71163,M,59855,Suburban,Married
681,BD35676,M,35296,Urban,Single
682,NI44621,F,36576,Rural,Married
683,EW33419,F,28513,Suburban,Married
684,HX44948,M,85448,Rural,Married
685,DL36983,F,23791,Suburban,Divorced
686,XR87264,F,20597,Suburban,Married
687,NN99001,F,56940,Suburban,Married
688,XV95530,M,93210,Rural,Married
689,OL97871,F,48992,Urban,Married
690,HQ23708,F,53736,Rural,Married
691,WR63188,M,25378,Suburban,Married
692,NG82219,F,76731,Urban,Married
694,RE46783,F,69379,Suburban,Single
695,RU94434,M,57449,Suburban,Single
698,NV61299,F,33806,Urban,Divorced
699,PT64580,M,77048,Rural,Married
700,CY50337,F,74965,Rural,Married
701,TJ20375,F,34095,Suburban,Married
703,JJ76159,M,96045,Rural,Divorced
704,BG15419,F,86355,Rural,Married
705,AO74776,F,27824,Suburban,Married
706,HQ82233,M,42995,Urban,Married
707,OL72737,F,21235,Urban,Married
708,ZQ59828,M,74585,Rural,Married
709,NZ15548,M,41833,Suburban,Married
710,XK61304,F,23908,Suburban,Married
712,CM94425,M,61953,Urban,Divorced
715,MY37953,F,73760,Rural,Married
716,XP64922,F,23333,Rural,Married
718,LN50325,F,20440,Suburban,Married
719,MP53505,F,86073,Rural,Married
720,KH59823,M,50943,Suburban,Divorced
721,YM79169,M,19003,Rural,Married
722,DR38127,M,46703,Suburban,Single
723,PU42145,M,14072,Suburban,Divorced
724,KM33477,M,21733,Suburban,Single
725,RI53167,M,20811,Suburban,Married
726,OF77789,F,11904,Suburban,Single
727,YB33445,F,43490,Rural,Married
728,BA17836,M,57340,Rural,Single
729,JS43228,M,49088,Suburban,Married
730,BB11622,M,47761,Rural,Married
731,UG79499,M,70930,Rural,Divorced
732,WK88044,M,61281,Rural,Married
734,EH16250,M,25290,Suburban,Single
735,PU41872,F,24239,Rural,Married
736,HB85743,M,82664,Rural,Married
737,MM71959,M,83210,Suburban,Divorced
738,MB83663,F,38736,Suburban,Divorced
740,KH24214,M,55437,Suburban,Married
743,EG62398,F,29066,Suburban,Married
744,VS19949,M,54337,Suburban,Married
745,AM92343,F,67616,Urban,Married
746,GI68556,F,41082,Rural,Married
748,XR64251,F,36650,Rural,Married
749,MK34957,F,50631,Suburban,Married
750,GP18756,M,19592,Suburban,Divorced
752,KQ65521,F,55761,Rural,Divorced
753,EJ19449,F,17576,Suburban,Married
754,QB70027,F,41449,Rural,Married
755,QW47320,F,14290,Suburban,Married
756,KH64733,F,62007,Rural,Married
757,ON59472,M,21921,Suburban,Married
758,HP94242,F,42621,Suburban,Married
760,EA25683,M,63786,Urban,Single
762,MC71942,F,82877,Rural,Married
764,YQ99152,M,10475,Suburban,Married
765,KI19439,F,21952,Suburban,Married
766,PM76175,F,49721,Suburban,Married
767,US45383,M,88340,Suburban,Married
770,BE62503,F,24589,Suburban,Married
771,PA16884,F,69379,Suburban,Single
772,NC58480,F,73769,Urban,Married
773,NS39326,F,66670,Urban,Married
774,PN18507,M,88854,Suburban,Single
775,EK91340,M,31266,Suburban,Married
776,JY16280,F,43860,Rural,Single
777,ZW71731,M,89284,Urban,Divorced
778,ZC24631,M,67267,Rural,Single
779,YR34689,F,79270,Suburban,Married
780,RT65829,M,36692,Suburban,Married
785,BM15160,F,44624,Rural,Married
787,EV19512,F,19614,Suburban,Married
789,WY97929,M,83846,Suburban,Married
790,YG20683,M,51159,Rural,Married
791,FK75497,M,83772,Rural,Divorced
792,NE60110,M,66839,Suburban,Single
793,TN36521,F,88440,Rural,Single
794,HG33568,F,25666,Urban,Married
795,TW17878,F,52926,Suburban,Married
797,CH97539,F,40001,Rural,Divorced
799,MO33320,M,18024,Suburban,Single
801,NY56352,F,23220,Urban,Married
802,EA27048,F,64125,Urban,Married
803,UT38865,F,58042,Urban,Married
804,QC89139,F,90034,Suburban,Married
805,LA14484,M,27972,Suburban,Married
807,CV31235,M,50989,Urban,Married
808,WR45726,F,11885,Suburban,Divorced
809,LB25094,F,89451,Rural,Single
811,XO36233,M,78904,Rural,Divorced
812,ZX86243,M,70247,Rural,Single
813,DW29763,M,32653,Suburban,Married
814,CT83377,M,93595,Rural,Married
815,OQ90898,M,90279,Urban,Divorced
817,QW33258,M,53310,Suburban,Divorced
819,VZ79886,F,22234,Suburban,Divorced
820,FI92440,F,91375,Rural,Married
821,YG85980,F,22250,Suburban,Married
824,VN79010,F,51179,Suburban,Married
825,FI61723,M,38667,Rural,Single
826,OH55411,F,79487,Suburban,Divorced
827,TF10720,F,67763,Rural,Married
830,WI69346,F,71943,Urban,Single
831,FS76657,F,53526,Urban,Married
832,YX89016,M,35005,Suburban,Married
833,PK28821,M,24721,Rural,Married
835,XG44587,M,88997,Rural,Divorced
836,FG91922,M,48587,Suburban,Married
837,OM99303,F,76310,Suburban,Married
838,RV67546,M,73205,Rural,Married
839,UJ79253,F,51056,Rural,Married
840,PN98247,M,58414,Suburban,Single
841,IB67546,F,23940,Suburban,Married
843,CM95716,M,44216,Rural,Married
844,MW62634,M,27972,Suburban,Married
846,SN16059,F,29305,Suburban,Married
847,OE51254,F,53882,Suburban,Married
848,RM42344,M,91757,Suburban,Married
849,GB35238,F,33906,Suburban,Married
850,ML82674,M,68158,Rural,Married
852,DE28132,M,42165,Suburban,Single
854,TY26512,M,30817,Rural,Divorced
855,OB69153,M,68074,Rural,Married
857,XN41715,F,71135,Urban,Married
859,FL69363,M,37722,Rural,Single
861,GR62267,F,44705,Rural,Divorced
862,NL59519,F,64642,Urban,Married
863,ZU93025,F,50071,Rural,Single
864,DK94262,M,46754,Suburban,Married
865,UQ30615,M,64801,Urban,Married
866,OR40060,M,70410,Rural,Married
867,DK32872,F,66957,Suburban,Married
868,FA46418,F,24213,Suburban,Single
870,KI75855,M,79751,Suburban,Married
871,ND41876,M,86122,Suburban,Married
872,PN21042,M,82297,Rural,Single
873,FF22360,F,82210,Rural,Married
874,AL46984,M,43259,Suburban,Married
876,ZE85014,M,25064,Suburban,Married
877,KU88219,M,25816,Suburban,Single
879,WS82822,F,41662,Urban,Divorced
880,YB49933,M,96170,Suburban,Married
881,XC16387,F,46072,Rural,Single
882,XJ96748,F,37931,Suburban,Married
883,TM98684,M,35127,Suburban,Married
884,NM39588,F,72450,Rural,Married
885,DM74502,F,93087,Suburban,Married
886,FT56968,M,22398,Suburban,Married
887,OX36896,M,92983,Rural,Married
888,BZ65376,M,27689,Suburban,Married
889,LN34660,F,69654,Suburban,Married
890,JC29295,F,80744,Urban,Married
893,IX35050,M,76358,Rural,Married
894,UN97379,M,18608,Suburban,Divorced
895,MR57294,M,73168,Suburban,Married
896,LK74984,M,21190,Suburban,Married
897,DX31066,F,94041,Rural,Married
898,GL20444,F,91474,Rural,Married
899,SP58110,F,61469,Suburban,Married
900,XM91635,F,16618,Urban,Single
901,TV82603,F,48081,Urban,Married
902,BB82067,M,67632,Rural,Married
903,JP94676,F,34115,Urban,Married
904,VU53417,M,23051,Suburban,Divorced
905,IW54795,M,23748,Suburban,Married
906,RN78170,F,40589,Suburban,Divorced
907,IX55883,F,50809,Urban,Single
908,XM72420,F,66676,Suburban,Married
909,GC15104,F,52339,Suburban,Divorced
910,RX13282,M,14973,Suburban,Divorced
912,IR62668,F,31546,Rural,Divorced
913,AL96740,F,67763,Rural,Married
914,QC55306,M,83170,Urban,Married
915,VO78441,F,19464,Suburban,Single
916,JH62891,F,66943,Rural,Married
917,FI20423,F,81872,Rural,Married
918,XF57481,M,50450,Rural,Single
919,YV67971,F,21342,Rural,Married
920,QD31377,M,34621,Suburban,Married
921,YG10247,M,62396,Suburban,Married
922,FE73696,M,97212,Urban,Married
923,SW19699,F,49648,Rural,Divorced
924,QJ40732,M,97984,Suburban,Married
